Youtuber;subscribers;views;category
KAROL G;32100000;18699145555;Music
Mr Bean;32100000;10602236110;Shows
rezendeevil;32100000;13061739758;Gaming
StarPlus;32000000;26800674545;Entertainment
SMTOWN;31900000;27330239663;Music
GMA  Network;31900000;19428308461;Entertainment
GENIAL;31800000;6762424690;Howto & Style
MR. INDIAN HACKER;31700000;5711208484;Science & Technology
Worldwide Records Bhojpuri;31700000;16476978876;Music
DONA ï¿½ï¿½;31700000;21031745531;Entertainment
Dream;31700000;2930015381;Gaming
Lucas and Marcus;31600000;11615848291;Entertainment
JustinBieberVEVO;31600000;26583873105;Music
Luis Fonsi;31400000;15176762479;Entertainment
Peppa Pig - Official Channel;31400000;22919271731;Film & Animation
YOLO AVENTURAS;31200000;9673649438;People & Blogs
The Tonight Show Starring Jimmy Fallon;31200000;17111726160;Comedy
TheDonato;31200000;6187804950;Entertainment
ImagineDragons;30700000;16793072362;Music
Diana and Roma ESP;30700000;12355992466;nan
Round2hell;30700000;3145161634;Comedy
Zee News;30500000;16709857823;News & Politics
AboFlah;30500000;4521573939;Gaming
AH;30400000;4332274962;Entertainment
Trap Nation;30400000;14037426379;Music
ýýýýýýýýýýýýýýý ýýýýýý ýýýýýýýýýýýýýýýýýý;30400000;17999961915;nan
Boram Tube Vlog [ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿;30300000;13546549817;Entertainment
Adele;30200000;14199108016;Music
Talking Tom;30200000;15199330166;Comedy
ýýýýýýýý ýýýýýýýý ýýýýýýýýýý | toyoraljanahtv;30200000;27684955537;Entertainment
Frost Diamond;30100000;7277493940;Gaming
Spinnin' Records;30100000;19607009165;Music
Little Angel: Nursery Rhymes & Kids Songs;30100000;22593193994;Education
jacksepticeye;30100000;16246625836;Gaming
Shawn Mendes;30000000;12831200855;Music
ashish chanchlani vines;29800000;4457913639;Comedy
Ultra Records;29600000;17208027242;Music
Popular on YouTube;29300000;0;nan
Maluma;29300000;21226945136;Music
Zhong;29200000;14727238483;Entertainment
Enaldinho;29200000;11627437847;Comedy
AuronPlay;29200000;4079141673;Comedy
Shorts Break;29000000;19466238065;Comedy
infobells - Tamil;28900000;17930570614;Education
Aditya Music India;28500000;25857994495;Music
The Late Late Show with James Corden;28400000;9956764048;Entertainment
Aditya Movies;28400000;10062770060;Movies
Masha y el Oso;28300000;13577142726;Film & Animation
infobells - Telugu;28300000;14814192034;Education
HUM TV;28300000;23844936965;Entertainment
Shemaroo Movies;28200000;7600740993;Entertainment
Michael Jackson;28200000;14412474625;Music
Drake;28100000;15318895118;Music
Goldmines Dishoom;28000000;8603468420;Film & Animation
Sandeep Maheshwari;27800000;2303069221;People & Blogs
Bounce Patrol - Kids Songs;27800000;21037851468;Music
toycantando;27700000;15777682516;Music
MrBeast 2;27500000;4552581106;People & Blogs
Wiz Khalifa;27500000;13379395501;Music
JYP Entertainment;27400000;19883150017;Music
ýýý Kids Roma Show;27400000;10336420490;People & Blogs
DanTDM;27400000;19417887510;Gaming
Nick Jr.;27300000;22440611155;Film & Animation
Crazy XYZ;27300000;7705492350;Entertainment
ToyPuddingTV;27100000;15916882228;Entertainment
Dushyant kukreja;27100000;17318452893;Entertainment
Gulshan Kalra;27100000;12732444881;Howto & Style
Brent Rivera;27000000;6570935979;Comedy
Renato Garcia YT;26900000;7938616641;Entertainment
Beast Reacts;26700000;4388047013;People & Blogs
enchufetv;26700000;10317306313;Comedy
Netflix;26700000;7173668905;Entertainment
Raffy Tulfo in Action;26500000;15065753455;News & Politics
WORLDSTARHIPHOP;26500000;20358117330;Music
Goldmines Bollywood;26400000;8595760553;Film & Animation
Alan Chikin Chow;26400000;27006526665;Comedy
PANDA BOI;26400000;17211600007;Entertainment
BB Ki Vines;26300000;4749833967;Entertainment
D Billions;26200000;31977463002;nan
Junya.ï¿½ï¿½ï¿½ï¿½;26200000;16097531087;Entertainment
Smosh;26100000;10435474336;Comedy
1MILLION Dance Studio;26100000;7886440199;Entertainment
NichLmao;26000000;14101010609;People & Blogs
Beyoncï¿;26000000;17308961985;Music
Marï¿½ï¿½ï¿½ï¿½ï¿½;26000000;18597534412;Music
Indosiar;25900000;11372071889;Music
VanossGaming;25800000;15541421838;Gaming
David Guetta;25700000;17793809548;Music
LosPolinesios;25700000;7466926260;People & Blogs
Nicki Minaj;25700000;10242981063;Music
Fede Vigevani;25600000;7962725960;Howto & Style
TaylorSwiftVEVO;25600000;25592378292;Music
ZHC;25500000;2726917087;Film & Animation
Post Malone;25500000;14401218086;Music
Rans Entertainment;25400000;6430853035;People & Blogs
LankyBox;25400000;34300482066;Comedy
Coldplay;25300000;17331663193;Music
Las Ratitas;25200000;9602246828;People & Blogs
WB Kids;25200000;11081602368;People & Blogs
ABPLIVE;25200000;7968363381;People & Blogs
Chris Brown;25200000;15520569496;Music
The Lallantop;25200000;10409352249;News & Politics
RihannaVEVO;25100000;19458807708;Music
WatchMojo.com;25100000;16357064198;Music
TRANS7 OFFICIAL;25000000;14169516119;Entertainment
Anuel AA;25000000;14827085149;Music
Dan Rhodes;24800000;17387583720;Entertainment
Yuya;24800000;2588501115;Howto & Style
America's Got Talent;24800000;3699352704;Entertainment
mujjuu___14;24800000;14655527943;People & Blogs
EminemVEVO;24700000;20531704527;Music
Chloe Ting;24700000;2994726412;Howto & Style
KatyPerryVEVO;24600000;23755792542;Music
Mark Rober;24600000;3647987299;Science & Technology
1theK (ï¿½ï¿½ï¿½ï¿½ï;24500000;23962070944;Music
Like Nastya AE;24400000;12385924995;Entertainment
Amit Bhadana;24300000;2380248899;Entertainment
Pen Movies;24300000;6608773195;Film & Animation
MrBeast en Espaï¿½ï;24200000;2700914170;Entertainment
shfa show India;24200000;15724160183;nan
Super JoJo - Nursery Rhymes & Kids Songs;24100000;329774870;nan
Alejo Igoa;24100000;10999000479;Comedy
Daniel LaBelle;24100000;12916159065;Comedy
netd mï¿½ï¿;24100000;56106087508;Music
DJ Snake;24100000;8425505919;Music
Diana and Roma ARA;24100000;11041261296;nan
KSI;24100000;6002166932;Entertainment
Spider Slack;24000000;13943030228;Comedy
Goldmines Movies;24000000;5652938599;Film & Animation
Preston;24000000;8279004442;Gaming
James Charles;23900000;4067878931;Entertainment
Collins Key;23900000;6582932625;Entertainment
Diana and Roma EN;23900000;7213499085;People & Blogs
Venus Entertainment;23800000;5663125358;Entertainment
Troom Troom;23800000;10414479943;Howto & Style
Enrique Iglesias;23800000;17688774915;Music
Ninja;23700000;2543809954;Gaming
FaZe Rug;23700000;7451792132;Gaming
Mister Max;23700000;15510153803;People & Blogs
That Little Puff;23700000;20289689389;Pets & Animals
NickyJamTV;23600000;15901824841;Music
Juan De Dios Pantoja;23600000;2135644776;Entertainment
Logan Paul;23600000;5994002464;Entertainment
Maya and Mary;23600000;6766461070;Entertainment
Peppa Pig Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;23600000;7920637200;Film & Animation
Jelly;23500000;14777034543;Gaming
Miss Katy;23500000;14696994366;People & Blogs
Tilak;23400000;9465863821;Film & Animation
Valentina Pontes ofc;23400000;7926899136;Film & Animation
Sesame Street;23300000;22471357411;Entertainment
Happy Lives;23200000;2634;Science & Technology
Lady Gaga;23200000;15751661213;People & Blogs
Akshay Nagwadiya;23200000;7966720147;Entertainment
Wave Music Bhojpuri;23100000;12889240875;Music
GMM GRAMMY OFFICIAL;23100000;25579831081;Music
TED;23100000;2551113422;People & Blogs
unknown boy varun;23100000;9299371231;Music
Kids TV - Nursery Rhymes And Baby Songs;23100000;13151870846;Shows
Tsuriki Show;23000000;31494513067;Entertainment
Technical Guruji;23000000;3378047383;Science & Technology
DrossRotzank;23000000;6041264489;Entertainment
White Hill Music;23000000;10939966484;Entertainment
Ultra Movie Parlour;22900000;5320485069;Movies
Alan Becker;22900000;5380073627;Film & Animation
toyorbabytv;22900000;16298342829;Music
BabyBus - Canciones Infantiles & Videos para Niï¿½ï;22900000;13206471140;Education
KL BRO Biju Rithvik;22800000;17988347989;Entertainment
Vania Mania Kids;22700000;10115316784;People & Blogs
Like Nastya PRT;22700000;11568118121;Entertainment
Sun TV;22600000;20847038152;People & Blogs
Heroindori;22600000;9223534599;Comedy
The Chainsmokers;22600000;14231943358;Music
mmoshaya;22600000;17507060680;People & Blogs
Sia;22600000;13405849040;Music
LeoNata Family;22600000;27084848152;People & Blogs
Goldmines Cineplex;22500000;2431154438;Film & Animation
Vlad and Niki Arabic;22500000;10613701948;nan
SSundee;22500000;13835173331;Gaming
Paulo Londra;22400000;8040036209;Music
Smile Family;22300000;8663830163;People & Blogs
FGTeeV;22300000;24059336857;Gaming
Kinder Spielzeug Kanal (Kidibli);22200000;11136266461;Entertainment
Charlie Puth;22000000;9924807127;Music
Vlad and Niki ESP;22000000;8594440895;nan
Sagawa /ï¿½ï¿½ï¿½;22000000;18347969186;Entertainment
Ben Azelart;21900000;4454917643;Film & Animation
Zach Choi ASMR;21900000;5918314128;People & Blogs
Topper Guild;21900000;15552070846;Comedy
Disney Latinoamï¿½ï¿½;21900000;20657571751;Entertainment
Stokes Twins;21800000;4469711607;People & Blogs
National Geographic;21800000;5614621131;Science & Technology
Dua Lipa;21800000;11288359365;Music
OneDirectionVEVO;21800000;12140232004;Music
Rotana;21800000;19329351143;Music
Netflix India;21800000;7780934187;People & Blogs
Sourav Joshi Vlogs;21700000;9392093496;People & Blogs
